experience,job_description,job_desig,job_type,key_skills,location,company_name_encoded,final
1-4 yrs,AI-based product client has a requirement for a Business Analyst to work across the companys data and ...,Business Analyst - Artificial Intelligence,,"Artificial Intelligence, Consulting, Data Analysis, Banking, MySQL...",Mumbai,4426,4.935000000000011
5-9 yrs,"- Experience of PD, LGD and CCF models would be an asset, preferably from within a risk management ...",AVP - Retail Risk Modelling,,"Risk Management, Rwa, Credit Risk, VAR, Basel II, Ccar, Lgd, Derivatives...",Mumbai,669,16.74
0-0 yrs,,Be Mechanical Engineer Fresher in MNC Tier 1 Company,,"mechanical engineering, car manufacturing, customer quality, production...",Chennai(Maraimalai Nagar+1),1356,8.240000000000002
10-15 yrs,,Project Manager--low Voltage / Medium Voltage Drives,,"Project Management, Vendor Management, Supply Chain Management...",Bengaluru,2289,24.324999999999996
2-7 yrs,,MIS Analyst  / Operation Executive  | WFM Analyst | Business Analyst,,"mis executive, mis coordinator, mis analyst, office coordinator...","Delhi NCR, Gurgaon, Noida",3719,13.37
6-8 yrs,,Data Architect - Mumbai,Analytics,"Data Architect, data modeler, Data Analytics","Mumbai, Navi Mumbai, Thane",5010,10.559999999999999
3-6 yrs,"- Minimum 2 years of experience in full stack development in web based applications with Asp.Net, C#, ...",.Net Developer - ASP/ C#,,"MVC, Javascript, C#, ASP.Net, JQuery, ASP, TDD, .Net, OOPS, SQL Database",Gurgaon,2188,11.129999999999999
2-4 yrs,,.Net Developer- Peeragarhi,,"mysql, mvc framework, .net, oops, analytical ability, javascript, css...",Delhi(Peeragarhi),3540,5.630000000000009
2-7 yrs, Must be willing to work in regular night shift.;Must have good typing speed;2 Year or above ...,"Pharma,dentist,biotechnology,microbiology,nurse,physiotherapist",,"medical transcription, medical transcription editor...","Noida, Mohali",2020,12.32
3-5 yrs,,"Business Analyst for a General Insurance Based Company,mumbai(thane)",,"General Insurance, Business Analysis, bpr, brd, Insurance","Mumbai, Navi Mumbai",3871,10.834999999999999
2-4 yrs,- Must have been in a managing virtual inventory for 2-4 ...,Growth Hacker - Supply Side - Online/internet,,"marketing campaigns, btl, atl, strategy, supplier relationship management...",Mumbai,3319,7.2900000000000045
3-5 yrs,"Chartered Accountant with 3+ years of direct tax experience in public accounting firm, large ...",Senior Tax Analyst (direct Taxation Analyst),,"direct tax, income tax, international taxation, direct taxation...",Bengaluru(Langford Town),3331,8.945000000000002
3-7 yrs,"- Have 3+ yrs of experience with building backend applications, Web Apps & Analytics;- Experience in ...",Lead Backend Developer - Full Stack - Web Apps & Analytics,Analytics,"Full Stack, Web Apps, DevOps, DBMS, AWS, ML, NLP engines, REST API stack...",Bengaluru,1993,12.23
4-8 yrs,"Strong working experience in Implementation of Azure cloud components  Azure Data Factory, Azure;Strong ...",BI Azure @ Hyderabad,Analytics,"SQL, Data Analytics, Visual Studio, Maintenance Activities...",Hyderabad,783,9.080000000000002
4-8 yrs,"Experience building integrations with 3rd party SOAP/REST API providers that can span multiple code sets, ...",AngularJS 4&5 Developer & PHP,,"javascript, redis, mysql, php, java, mvc, nosql, ruby, angularjs, corephp...",Bengaluru(Bellandur),1058,9.799999999999997
15-20 yrs,- Champions analytics and improvement in customer shopping ...,Head - Consumer Insights Marketing - Cement Firm,analytics,"Marketing, Consumer Insights, Strategy, Market Intelligence, Marketing Head...",Mumbai,4750,31.17999999999998
1-5 yrs,,Quality Analyst for Technical Sales Process,,"quality analysis, Voice Process, US Process, Technical Sales",Gurgaon(Udyog Vihar),1691,11.405000000000001
6-11 yrs, The analyst/ technical lead would be part of global Technology Risk Management (TRM) team based in ...,Senior Risk Analyst,,"risk management, operational risk, compliance, technology risk...","Chennai, Pune",580,13.305
2-4 yrs,Minimum 2 to 4 years of experience in Catia V5 and Automotive Interior parts;Must have 2 to 4 years of ...,Engineer - Perceived Quality,,"Design, Quality Engineering, CATIA, Manufacturing Quality...",Pune,1373,8.93
6-11 yrs,,HCL Technologies - Hiring - Senior Business Analyst RPA - Noida,,"business analysis, lean, solution design, user acceptance testing, business...","Delhi NCR, Noida",1807,16.684999999999995
10-15 yrs,4 years of strong experience with cloud services (Azure) - hands-on track-record architecting and/or ...,Cloud Architect - Azure- IAAS .sharepoint,,"JQuery, C#, WPF, SQL Azure, .Net, Microsoft Azure, C#.Net, Bootstrap...",Noida,275,18.399999999999988
4-6 yrs,- At least a couple of years of experience using data to facilitate business decisions;- Experience ...,Product Analyst - Online/internet - IIT/ IIT/ NIT/ Xlri/ Bits/ FMS,,"product analysis, product management, data analysis, sql queries...",Bengaluru,4061,10.555
4-8 yrs,1 Candidate should understand the components of a Big Data ecosystem and able to design solutions based ...,Talend Big Data,,"Oracle, MS SQL, Outsourcing, Analytical, Operations, big data, ETL tool...",Bengaluru,191,10.539999999999996
7-10 yrs,- Take part in activities of the department and ...,Professor/ Associate Professor/ Assistant Professor - Ai/ml,analytics,"data analytics, Education, Professor, ML, AI, Teaching",Andhra Pradesh,3929,17.934999999999995
4-9 yrs,"- Experience with collections Analytics, recovery, assets Management from leading banks /NBFCs / ...",Manager - Collection Analytics - BFS,Analytics,"Manager - Collection Analytics, Collection Analytics, Analytics...","Chennai, Pune",3612,19.359999999999992
10-18 yrs,"B Tech + MBA from top tier institutes with strong quantitative background."";1] 9+ experience years in ...",Lead Consultant Analytics,Analytics,"r, advanced analytics, segmentation, sas, machine learning...",Pune,2400,22.794999999999995
4-6 yrs,"You must have an analytical mind and should be able to monitor, track and evaluate web analytics metrics ...",SEO Manager/ Senior SEO Executive,analytics,"seo, sem, search engine optimization, web analytics, Keyword Research...",Mumbai Suburbs,3045,11.63
5-10 yrs,"Experience in Vendor Management role, or previous managerial experience within a Securities processing ...","Associate Director, Securities Settlements",,"Equity, Business Analysis, Lending, Project Management, Settlements...",Hyderabad,4765,16.42
0-1 yrs,We have an opening for Data Analyst for a travel based company :     Location ...,Data Analyst / Travel Based Company / Mansarovar ( Jaipur ),,Data Analysis,Jaipur,4185,6.015000000000008
4-8 yrs,Exploit and Vulnerability Researchers with the passion and experience necessary to solve the malware ...,Sr. Exploit and Vulnerability Researchers,,"research analysis, machine learning, software development...","Bengaluru, Pune",520,10.539999999999996
8-12 yrs,"- Experience managing analytical talents to identify, prioritize, design, develop and implement advanced ...",Senior Manager - Data Analytics/ SAS - Banking Firm,Analytics,"SAS, Predictive Analytics, R, Finance, Data Analytics, Marketing Consulting...",Bengaluru,1969,17.984999999999992
2-6 yrs,,Hiring for Research Associate - Statistical Analyst in ITC LSTC,,Statistical Analysis,Bengaluru,2067,14.915
2-3 yrs,,Senior Hadoop Developer,,"Hive, Oozie, Sqoop, Hadoop, Hdfs, HBase, Pig, Impala, Cloudera, NoSQL...",Hyderabad,2987,5.980000000000004
0-2 yrs,Understanding of basic excel is preferred for this role;Hands-on experience working with secondary ...,Walk In Drive for M. Pharm / B. Pharm + MBA,,"b pharmacy fresher, b pharmacy graduate, M Pharmacy Fresher...",Gurgaon,4774,6.115000000000008
2-7 yrs,,Analyst,,"financial s, consulting, sourcing, monitoring, pe, management...",Chennai,4286,10.844999999999999
2-4 yrs,"Should possess strong knowledge in SEO, SEM and Social Media Marketing;Working experience on Seo ...",Job Opening | Digital Marketing Executive,,"Digital Marketing, SEO, search engine optimization, On - page Optimization,...",Pune(Kalyani Nagar),4701,6.410000000000007
2-5 yrs,"Coordinating with various stakeholders  Product Owner, SMEs, and Developers  to analyze, discuss, ...",Business Analyst (product Development),,"Business Analysis, User Stories, Scrum, New Product...",Chennai,2186,10.435
1-6 yrs,"- An advanced degree in Math, Computer Science, Statistics, Physics, or a related field (high GPAs ...",Quantitative Analyst - HFT,analytics,"data structures, algorithms, c++, analytics, programming, computer science,...",Delhi NCR,1353,10.955000000000002
1-6 yrs,Must able to estimate a sizeable development effort;2+ years experience in as Business Analyst;Master of ...,Business Analyst,,"Project Scheduling, Project Life Cycle, Project Management...",Ahmedabad,3835,10.02
0-0 yrs,,Real Estate Analyst_on Contract for 6 Months,,"B Com Fresher, BAF Fresher, Mba Finance, Data Analyst, reporting analyst",Mumbai,2630,4.960000000000003
0-2 yrs,,Opening for .NET Developer- Noida,,"ASP.Net, LINQ, Entity Framework, WCF, MVC, C#, C#.Net, Ajax, Javascript...",Noida,4676,5.720000000000009
8-13 yrs,- 8+ years of analytics experience in the industry in a direct or consulting capacity helping ...,Manager/senior Manager - Industry Domain Lead - Analytics,Analytics,"Sales, Go - to - market Strategy, Marketing, Events, Accounting...",Chennai,3931,25.074999999999996
12-18 yrs,Extensive experience with multiple software systems design tools and languages;12-18 years IT experience ...,UI Architect,,"JQuery, CSS, Javascript, Html5, Ajax, Dojo, Bootstrap, UI Development, Java...",Bengaluru,2773,22.77499999999999
18-22 yrs,"o   Relevant experience: Over 12 years which includes Processes consulting, technology consulting, large ...",Practice Head- Identity & Access Management (iam),,"Presales, Access management, Technology consulting, Fraud detection...",Bengaluru,4822,27.869999999999997
10-11 yrs,At least 10 years experience with managing plans for software development and lifecycle management;- At ...,Embedded Technology Manager,,"technology management, program management, product development...",Hyderabad,3458,25.3
5-8 yrs,,Salesforce Business Analyst,,"Salesforce.com, Requirement Analysis, Salesforce, UAT...","Mumbai, Pune",2359,13.95
8-12 yrs,Good at client and stakeholder management with excellent communication skills;Looking for candidates ...,Analytics Technology and Energy - Manager,Analytics,"stakeholder management, energy management, Optimization, simulation...",Bengaluru,1756,14.29
7-12 yrs,Solution Architect with 7+ years of experience leading complex product development programs and ...,Technical Architect / System Analyst (java),,System Analysis,Delhi NCR,2890,19.994999999999994
6-10 yrs,"- Post-Graduate degree in statistics, finance, mathematics, engineering (Computer Science preferred) or ...",Manager - Strategy & Algorithm - Capital Markets Domain,,".net, c#, quantitative analysis, computer science, strategy, R, MATLAB...","United States (U.S), New Jersey",1970,16.290000000000003
4-7 yrs,"- 4-7 years of related experience, combination of risk, control, or audit and data analytics experience ...",Senior Consultant - Data Analytics,Analytics,"Predictive Analytics, Data Visualization, Excel, SQL, Data Analytics...",Mumbai,3362,10.144999999999998
2-3 yrs,,Test Analyst (manual),,"Test Execution, Defect Logging, Test Analysis, QA, Retail Banking",Mumbai,364,6.839999999999999
1-4 yrs,Candidate must also be aware of data analysis software and ...,"Research Analyst ( BIR ), 2 - 3 yrs exp. New Delhi",,"market research, research analysis, data analysis, quantitative...",Delhi NCR(Sultanpur),2476,11.18
3-8 yrs,To ensure the trainee come up the learning curve and are equipped with the skill sets required to handle ...,Trainer and Senior Trainer,,"Process Training, OJT, Training Need Analysis, TNA, Feedback, Learning...",Bengaluru,1935,13.12
2-4 yrs,,Urgent Opening for PPC Executive | US Travel Process,,"Online Marketing, Excel, PPC, CPA, Analytical Skills, US Inbound sales...",Noida,3732,6.725000000000002
1-6 yrs,WORK LOCATION : They Should flexible to relocate up to 100kms;Edu: Any ...,Credit Manager - Credit Underwriting - Rural Karnataka - 3.5lpa,,"credit control, credit management, risk management, risk assessment, Senior...","Belgaum, Dharwad, Hubli",4032,10.67
12-15 yrs,Customer experience and Servicing analytics: Analytics to aid better experience for customer through ...,Specialized Analytics Group Manager,Analytics,"Forecasting, RF, Underwriting, Relationship management, Operations research...",Bengaluru,911,29.35
8-13 yrs,At-least two full end to end implementation experience and rest with application support;Primary Skill ...,"Business Process Analyst - SAP Indirect Tax , Vertex - Chennai - MNC",,"tax specialist, indirect tax process, business process analysis, vertex...",Chennai,3458,29.544999999999995
9-13 yrs,A strong background in processing and managing large data sets is required and familiarity with current ...,Hiring for Big Data Technical Consultant - Cummins India Limited.,,"Big Data, Hadoop, Design Development, Data Processing",Pune,1072,18.11499999999999
2-5 yrs,,Program Control Services,Analytics,"Analytics, MS Office, Outsourcing, Resource management, Business operations...",Bengaluru,190,8.825000000000003
5-10 yrs,- Detailed understanding of local development control regulations & good network with architects ...,Technical Manager,,"valuation, finance, portfolio analysis, credit risk, financial modelling...",Mumbai,4347,17.459999999999994
2-7 yrs,"- Qualified applicants should have interest in designing, prototyping and implementing digital signal ...",Audio Finger Printing /DSP Researcher/engineer,,"c, matlab, digital signal processing, dsp, c++, algorithms, gcc, python...",Bengaluru,1149,10.319999999999997
0-0 yrs,  We have  100 + openings  for Information Executive role. Role includes secondary ...,Tracxn - Mega Walk in Drive || Day Shift,,"data operator, ba, computer operator, bbm, backend, excel, bba, bsc...",Bengaluru,4474,6.645000000000009
2-4 yrs,Cyber Security is seen as a key strategic pillar within the organisation as the methods attackers use ...,Analyst - Cyber Security Operations,,"Information Security, SOC, Tripwire, Dlp, IPS, Firewall, Networking...",Mumbai,4487,8.96
4-7 yrs,"Our 100,000+ staff deliver technology-infused, omni - channel customer experience management, marketing ...",Walk in Interview for Dot Net with Concentrix,,"ms sql server, mvc, web application, object oriented programming...",Bengaluru(Whitefield),995,10.274999999999997
2-4 yrs,,Microsoft Advanced Analytics,Analytics,"microsoft, Business process, Scheduling, Outsourcing, Operations...",Bengaluru,190,5.029999999999998
3-5 yrs,Must understand interaction between scripting and compiled languages;3 Years experience with Strong ...,Java UI Developer,,"Linux, Javascript, HTML, Analytical, Focus, jQuery mobile, Management, SVN,...",Pune,825,7.145000000000003
2-6 yrs,,Team Leader - Medical Billing (US Healthcare Industry),,"medical billing, us healthcare, team leading, team handling...",Ahmedabad,1065,9.249999999999998
1-3 yrs,We are looking for the Front Office Executive cum Data Analyst with 2+ years of experience in below ...,Front Office Executive/data Analyst,,"Administration, Data Analysis, Excel, Effective Communication Skills, Front...",Bengaluru(Bommanahalli),1965,9.564999999999998
0-2 yrs,,Customer Operations Analyst for Chandigarh BPO,,"International Call Center, International BPO, Calling, Customer Operations,...",Chandigarh,475,4.619999999999996
2-7 yrs,"Internal External RSM, Marketing Team, Corporate Communication & NPD Team, Production Planning & ...",Business Development Manager,,"sales, business development management, marketing, distribution management,...","Mumbai, Bengaluru(Vijay Nagar+9), Pune",2426,13.89
10-12 yrs,Demonstrable experience in understanding and being able to translate business users requirements into ...,QE Manager,,"Automation Tools, Test Planning, Test Management, Solution Delivery...",Hyderabad,1002,17.039999999999992
10-15 yrs,"- Experience in handling large datasets like condition monitoring data;- Business Process mapping, ...",Manager - Reliability Analytics - Resources Firm,Analytics,"SQL, Machine Learning, R, Python, Statistical Analysis, SAS...","Gurgaon, Bengaluru",2884,30.724999999999998
5-9 yrs,Requirement for Key account manager - Corporate sales ...,Key Account Manager - Corporate Sales - Air Purifier,,"Corporate Sales, Key Account Management, CRM Sales, Sales Forecasting...",Delhi,3931,17.894999999999992
0-0 yrs,Logical thinking and good decision-making abilities;Escalate queries based on sample documents as and ...,Hiring : LLB / LLM (law): Graduates/ Interns /students- Walkin,,"Legal Process Outsourcing, Business Solutions, Business Services...",Mumbai,2046,9.774999999999999
10-18 yrs,10-18 years of deep technology experience at very large enterprises or web scale product companies ...,Technology Architect,,"JSON, Microsoft Azure, Java, Product Marketing, XML, Web Services...","Bengaluru, Trivandrum, Kochi",1305,20.279999999999987
4-8 yrs,- Strong experience working both independently and in a team-oriented collaborative environment;- Strong ...,Manager - Strategy & Algorithm - High Frequency Trading - Iit/iim/isb,,".net, c#, high frequency trading, quantitative analysis, Strategy, Strategy...",Delhi NCR,1988,17.229999999999997
2-7 yrs,"2-5 years of product management experience, preferably in an e-commerce company;Working experience of ...",Product Manager - Google Analytics/ Tableau,Analytics,"Project Management, Production, Google Analytics, Product Management...",Mumbai,720,8.515
8-10 yrs,"Role : Application DeveloperRole Description : Design,  build and configure applications to meet ...",Application Developer,,"Python, Data mining, Machine learning, Business process, Outsourcing...",Bengaluru,191,17.554999999999993
1-6 yrs,"FRESHERS with Good communication skills , reasonably good academics (above 60\%) OR Graduated from ...",Executive / AM Sales / Sr Counselor -- Chennai,,"student advisor, career advisor, enrollment executive, sales, counselling...",Chennai,2036,15.800000000000002
12-15 yrs,Experience in Experience translating client business rules to technical business requirements;Must be a ...,SF Solution Architect,,"recruitment, hris, successfactors, linkedin, sap hcm, business rules...",Hyderabad,2263,28.72500000000001
1-3 yrs,Experience in managing relationships with senior level stakeholders;- Good understanding of software ...,Junior Product Owner - Roadmap/ Strategy,,"Requirement Gathering, Project Management, Project Analysis...",Bengaluru,1154,6.320000000000001
10-15 yrs,- 2+ years of experience in security incident handling and forensics skills including knowledge of ...,Senior Cyber Security Analyst,,"Cyber Security Analyst, TCP / IP, IDS / IPS, firewalls, LAN / WAN, routing,...",Bengaluru,280,26.575
13-15 yrs,"- Experience with IT architecture development  methodologies, creating solution architecture ...",Enterprise Architect,,"Java, Activemq, TOGAF, Apache Camel, Oracle, Microservices...",Bengaluru,686,23.514999999999993
5-10 yrs,- Engage and closely collaborate with the product and engineering teams to drive initiatives for best ...,Manager/senior Manager - SEO - Travel Tech Startup,,"SEO, Manager - SEO, SEM, portfolio management, keyword research, analysis...",Bengaluru,2401,18.124999999999996
6-10 yrs,,AVP- Configuration Analyst - BFSI (6-10 Years),,"oracle sql, asp, data integration, business objects",Mumbai,1054,13.795
5-10 yrs,"The candidate must be able to answer tough questions on these languages;- Very pro-active, delivery ...",java Developer - Multithreading - Investment Banking Domain,,"Design Patterns, Multithreading, SQL, Core Java, Agile, Database, SyBase...",Bengaluru,2972,17.369999999999997
3-6 yrs,,Program Control Services,Analytics,"Analytics, Outsourcing, Operations, Financial analysis...",Gurgaon,190,7.825000000000002
2-6 yrs,2-4 years of hands-on experience in Server Side development. ;Well versed with android design standards ...,MEAN Stack Developer / Android Developer - South Delhi,,"java, mongodb, node.js, mean stack, android, html5, server side, angularjs,...",Delhi,2978,12.309999999999999
14-20 yrs,- Minimum of 8 Year of SAP BW Experience with atlease 1 to 2 years of SAP ABAP and possesses multi ...,SAP BW Consultant - HANA Module,,"Hana, SAP ABAP, SAP BW, SAP ECC, Bo, Testing Tools, Analytical Skills...",Bengaluru,3536,32.899999999999984
3-6 yrs,Should have expertise in creating reports and explorations;Knowledge and experience of other BI ...,SAS Visual Analytics,Analytics,"Base SAS, Analytics, Data Structures",Jaipur,1255,8.744999999999997
1-4 yrs,"Job Requirements : Responsibilities 1Must be responsible for various Integration Methodologies,  data ...",Snaplogic,Analytics,"Workflow, HTTP, Debugging, Analytics, Monitoring, Data management...",Bengaluru,190,6.974999999999999
5-10 yrs,"Banking Domain experience is a big plus;Should have knowledge about SQL Query (Queries ,Joins and ...",Data Analyst,,"data modeling, sql, data analysis, investment banking, banking",Noida,2058,15.31
6-11 yrs,Should have handled high volume hiring;University relations/campus recruiting experience is desired ...,Opening for Talent Acquisition with Leading Market Research Company,,"talent acquisition, hr, human resource management, recruitment...","Mumbai, Mumbai Suburbs, Navi Mumbai",3458,28.79999999999999
1-6 yrs,"  Develop Channel and Networks with CA, CS and real estate agents  Build relationship ...",Business Development Manager,,"Business Development Management, HNI, Banking, Retail, Real Estate...","Delhi NCR, Gurgaon",547,15.790000000000003
3-8 yrs,"3+ yrs preferred;Experience in Tableau, SAS, SQL & MS-Excel must;Experience in Cognos preferred ...","Tableau Data Analyst, Pune",,"tableau, Data Analyst",Pune,4122,13.59
4-6 yrs,- Work with reporting manager to maintain good contact and ensure timely follow-up with Indian ...,Regulatory Affairs Specialist - IVD Industry,,"risk analysis, regulatory affairs, product launch, performance evaluation",Delhi,2914,14.735000000000001
10-14 yrs,B.E & M.B.A / CA/ CFA with 10- 14 years of experience in any of the following analytics solutions ...,TAS OTS ITTS Assistant Director,Analytics,"Webtrends, Omniture, Text Mining, Data Analysis, Google Analytics...",Gurgaon,1305,20.49499999999999
5-8 yrs,,Account Manager 2 Inside Sales,,"Inside sales, Data analysis, Customer interaction, Business solutions...",Bengaluru,1173,15.810000000000002
2-5 yrs,Experience of managing social media presence in the past for B2B brands;In-depth experience with social ...,Urgent Opening for Account Manager-b2b Digital Marketing (powai),,"SEO, Content Marketing, Digital Marketing, Search Engine Optimization...","Mumbai(Powai), Navi Mumbai",1398,10.059999999999999
10-12 yrs,,Senior Information Security Analyst,,"Cissp, Networking, Information Security, Cisa, SOC, Hardware, SCCM...",Bengaluru,3810,18.99499999999999
2-4 yrs,,"Maintenance Engineer (forging ) , exp 2 to 3 yrs , Chakan",,"heat treatment process, forging, powder coating...",Pune,4995,5.004999999999999
4-8 yrs,You should be able to work in a highly dynamic fast paced environment. ;Technical experience with ...,Apttus is Looking fora  Product Analyst for Bangalore Location,,"Salesforce, Javascript, Product Analysis, Business Analysis, C#...",Bengaluru,422,10.539999999999996
0-1 yrs,Should possess excel knowledge;Should have a good command over English in written;Good Typing Speed  25 ...,Back Office Process Associate - US Healthcare,,"Excel, Typing Speed, Back Office, US Healthcare, Analytical Skills",Delhi NCR,2489,10.0
1-5 yrs,,Product Analyst,,"Requirement Analysis, Communication Skills, UAT Testing, Multitasking...",Gandhinagar,2418,13.16
4-7 yrs,Kindly forward your resume to below mentioned mail ID with preferred work location and if this ...,Business Analyst- SRL Bangalore,,"Budgeting, Finance, Business Analysis, Senior Management...",Bengaluru,3748,14.18
5-10 yrs,  A minimum of 5 years experience in business analysis or a related field;This resource should ...,Data Modeller - Technical BA,,"Business Analysis, Business Intelligence, Data Modeling, ERwin...",Hyderabad,1954,18.74499999999999
10-15 yrs,"- Good team management, project management and communication (both written and verbal) skills, including ...",Assistant Vice President - Insurance Analytics - P&C Domain - Sas/r,Analytics,"Insurance Analytics, R, Predictive Analytics, Model Development, C, SAS...",Gurgaon,1989,29.139999999999997
19-25 yrs, Must have background of construction contracting company; Experience:- 19 ...,Urgent Opening for Quality Head for Mumbai Location,,"QMS, Quality Management, Material Testing, Action Plan, Document Control...",Mumbai,2475,30.9
7-12 yrs,,Senior Analyst - Regulatory Affairs (formulations),,"Design Development, Regulatory Affairs, Project Development...",Hyderabad,1228,31.379999999999985
0-2 yrs,3) Experience : Fresher to 2 years & Age limit is upto 28 years;4) Candidate should have good ...,Client Support - Technical Analysis Software - Male Candidate,,"Technical Analysis, Client Support, Equity, Derivative, NSE, BSE, MCX...",Mumbai Suburbs,4036,5.940000000000008
5-8 yrs,Strong skills in the areas of service parts planning preferably in NPI environment;ERP systems: ...,Material Planning Analyst -with MNC Client-bangalore,,"spares planning, customer interfacing, semiconductor manufacturing, NPI...",Bengaluru,2561,12.91
1-3 yrs," The job focuses on ideating, planning and creating technical content to market the company's ...",Technical Content Writer,,"Content Writing, Email Marketing, SEO, Social Media, Content Development...",Gurgaon(Udyog Vihar),788,5.32
3-8 yrs,"- Previous experience in similar roles - handling large volume of data, advanced SAS is a must;A ...",MIS Analyst/reporting Specialist - BFS,,"MIS, MIS Reporting, Teradata, SAS, Cognos, Tableau...",Bengaluru,5021,14.555
8-13 yrs,,Business Analyst ( Only Female),,"market research, market analysis, data mining, mis reporting...",Pune(Mulshi),1064,21.284999999999993
2-4 yrs,You MUST have strong marketing drive - innovate to achieve defined goals;- A minimum of two years ...,FLIP - Content Marketing Specialist,Analytics,"SEO, Digital Marketing, Google Analytics, PPC, Affiliate Marketing, Content...",Mysore,1511,9.899999999999997
6-11 yrs,"Strong client focus, with the ability to manage expectations appropriately, to provide a superior client ...",Lead Business Analyst(investment/capital Market Domain),,"Business Analysis, Workflow Analysis, Capital Market, Trading, IT Services,...",Hyderabad,4272,22.139999999999993
5-10 yrs,"- 3 Technologies from 28nm, 20nm, 14nm, 10nm.  - Block level floorplanning, power planning and ...",Physical Design Engineer - Floor Planning/timing Closure,,"Timing Closure, Physical Design, Floor Planning, STA, Synthesis...","Bengaluru, Ahmedabad, Gujarat",2423,18.804999999999993
5-10 yrs,- Provide and execute strategic recommendations to drive increased conversions throughout the customer ...,Lead/ Head - Product Management - Ecommerce - IIT/ NIT/ IIM/ Xlri/ FMS,analytics,"web analytics, customer experience, iim, customer acquisition...",Delhi NCR,3275,21.854999999999997
1-3 yrs,- Should be able to convert the client requirements into testable solution and manage the work done from ...,Quality Analyst - Manual/automation Testing,,"Test Planning, Test Reporting, Test Cases, Automation Testing, Agile...",Noida,3309,5.910000000000008
3-6 yrs,,Associate Manager - Quant Research - Econometric Modeling,Analytics,"Fixed Income, Finance, Hedging, Analytics, FRM, Excel, CFA...",Mumbai,1054,9.29
0-3 yrs,Should be focused on quality and error free reports;You will be required to use the database and the ...,Analyst - Background Verification (Day Shift),,"background verification, backend, back office, back office operations...",Kolkata(Salt Lake),4682,6.270000000000009
1-2 yrs,Should be able to work well under stress in a fast paced environment;Should be able to work well under ...,Hiring Marketing Manager & Sales Executive,,"Sales Management, International Marketing, Domestic Marketing, Promotions...",Hyderabad,4107,4.095000000000002
2-5 yrs,,Program Control Services,Analytics,"Analytics, Outsourcing, Process improvement, Operations...",Pune,190,7.675000000000003
9-14 yrs,Must be a team player and natural mentor in grooming subordinates;We have urgent requirement for Pre ...,Pre-sales BIDW Bigdata Requirement for LTI Pune,,"DW, Bi, Big Data",Pune,2468,27.650000000000006
3-7 yrs,Please make sure candidate should qualify checklist written below:;Does the candidate have experience of ...,CAE Engineer - Nastran Analysis ,,"CAE Engineer, Nastran Analysis, CAE, LMS, Hypermesh, Nastran, TBIW",Pune,5019,10.249999999999998
0-2 yrs,,Looking for Data Analyst Senior Associate,Analytics,"Data Analysis, data mining, SQL, Advanced Analytics, Machine Learning...",Bengaluru,3132,10.53
1-5 yrs,,Microsoft FED Angular,,"MVC, Backend, Outsourcing, GIT, Analytical, PAAS, Operations, Windows...",Bengaluru,190,5.6149999999999975
5-9 yrs,,Salesforce Marketing Cloud,Analytics,"Automation, Salesforce, Analytics, Adobe, Outsourcing, unica campaign...",Hyderabad,191,13.07
6-10 yrs,6 to 9 years relevant experience in building Machine Learning models;3.Build new products in the domain ...,Data Science Lead,,"SAS, R, Hive, Anova, SQL, Logistic Regression, Predictive Modeling...",Pune,3851,20.264999999999997
5-10 yrs,- Object Oriented (C++ or Java preferred) programming familiarity and ability to grasp/expand upon ...,Data Scientist - C++/java - IIT,Analytics,"Algorithms, C++, Data Structures, Java, Programming, Analytics, Mathematics...",Delhi NCR,3319,17.904999999999994
5-8 yrs,- Strong analytical skills and experience with data driven design and decision making;- Experience ...,Product Manager - Online Games,analytics,"monetization, product management, strategy, data analytics, franchise...",Pune,1349,12.245000000000001
3-8 yrs, Job Opening for Manager-Finance &Accounts at Bangalore Location ...,Job Opening for Manager-finance &accounts at Bangalore Location,,"accounting, finance, financial management, ca, budgeting, forecasting...",Bengaluru(Richmond Town),2475,13.649999999999999
2-5 yrs,&bull;2 - 5 years of experience in the field of advanced quantitative techniques while working for ...,AIM SBS APAC,,"Consulting, Operations research, Mining, Econometrics, Machine learning...",Bengaluru,910,3.600000000000005
2-6 yrs,The job purpose attached to this position are assisting in below listed key areas:   I. ...,Financial Analyst - Reporting - IFRS and IND AS,,"accounting standards, ifrs, ind as",Mumbai(Marol),2311,13.635
2-7 yrs,- Complete knowledge of at least 1 scripting language (Python is preferred);- Experience with SQL and ...,Marketing Analyst/specialist - Performance Marketing - Ecommerce - IIM,,"Marketing Analysis, Marketing Campaigns, Strategy, IIM, Facebook Marketing,...",Mumbai,4426,11.594999999999999
10-12 yrs,Development practices - Must be able to use test driven development and be familiar with UML and OO ...,Opening for Lead Analyst,,"C++, Core Java, Risk Management",Mumbai,1732,18.499999999999993
6-8 yrs,,Data Architect - Mumbai,Analytics,"Data Architect, data modeler, Data Analytics","Mumbai, Navi Mumbai, Thane",5010,10.559999999999999
11-15 yrs,"- Deep experience in Data platform designing, architecting, implementation & operations standards ...",Big Data Architect - Data Analytics/data Modeling,Analytics,"POC, Data Analytics, Big Data, Data Modeling, Data Management...",Bengaluru,280,22.909999999999993
10-18 yrs,3+ years of direct warehousing experience;  Essential experience and skills:  ;Willing to ...,Warehouse/depot Manager,,"3Pl, Supply Chain Operations, Warehouse Management...",Indore,779,17.679999999999996
